No_,"Manufacturer ID",Description,Price,"Retail Price Incl_ GST",AvailableQty,Rocklea,Sydney,"Net Weight","Brand Code","Product Group Code","Minor Category 1","Minor Category 2","Vendor Name","Vendor URL","Item URL",Warranty,Dimension,"Item Description",Image
II366362,SM-X306BZGASTS,"SAM TAB GALAXY-ACTIVE5-SM-X306BZGASTS",865.00,953.64,2,2,0,0,SAM,TAB,#,#,Samsung,https://www.samsung.com/au/,https://www.samsung.com/au/business/tablets/galaxy-tab-active/galaxy-tab-active5-5g-sm-x306bzgasts/buy/?srsltid=AfmBOoq769F3A_ZVH6oEOsGHS4ceMwSAQEP8ID9Lq5kfeA6cVQkvMdpM,"2 Year",,"Samsung Galaxy Tab X306BZGASTS, Galaxy Tab Active5 5G LTE 128GB EE - Green, 8"",Octa-Core, 6GB/128GB, 13MP/5MP, Android, 5050mAh, 3 Years Warranty",https://images.auscomp.au/uploads/images/II366362/full/0/01733970545.jpg
II366363,960-001089,"LOG CAM C922-PRO",90.00,139,20+,20+,0,0,LOG,CAM,#,#,Logitech,https://logitech.com.au/,,"1 Year",,"Logitech C922 Pro, Webcam (960-001089), Full HD, 1080P, Built-In Dual-Mic Stereo Sound, Auto-Light Correction, Hyperfast Frame Rate, 78° Diagonal FOV, Autofocus, Black,1 Year Warranty ",https://images.auscomp.au/uploads/images/II366363/full/0/01734578145.jpg
II366388,NW831,"SMP LAN ACC-USB-ADAPTER-NW831",14.00,19,9,9,0,0,SMP,LAN,#,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/simplecom-nw831-wi-fi-6-and-bluetooth-5-3-combo-usb-adapter-dual-band-ax900.html,"1 Year",,"Simplecom NW831, 5.3 Combo USB Adapter, Dual Band AX900, Wi-Fi 6, Bluetooth, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366388/full/0/01734320866.jpg
II366402,NW106,"SMP LAN ACC-USB-NANO-ADAPTER-NW106",6.90,9,20+,20+,0,0,SMP,LAN,#,#,Simplecom,,,"1 Year",,"Simplecom NW106, AX300, 2.4GHz, Wi-Fi 6, USB Wireless, Nano Adapter, 1 year warranty",https://images.auscomp.au/uploads/images/II366402/full/0/01734486900.jpg
II366413,50994030,"HPL SYS 440-G9-AIO-50994030","1,149.00",2260.34,12,12,0,0,HPL,SYS,#,#,"Hewlett Packard",,,,,"HP 50994030, ProOne 440 G9 R AIO, 24"" Screen, Intel i7-13700T, 16GB RAM, 256GB NVMe SSD, Windows 11 Pro, 3 Year Onsite Warranty (No WiFi or Speakers)",https://images.auscomp.au/images/default.png
II366414,50755683,"HPL SYS 440-G9-AIO-50755683","1,249.00",1786.07,7,7,0,0,HPL,SYS,#,#,"Hewlett Packard",,,"3 Year",,"HP 50755683, ProOne 440 G9 R AIO, 24"" Touch Screen, Intel i7-13700T, 16GB RAM, 256GB NVMe SSD, Windows 11 Pro, 3 Year Onsite Warranty (No WiFi or Speakers)",https://images.auscomp.au/uploads/images/II366414/full/0/01734917710.jpg
II366420,ZM-AM5MKA,"ZAL ACC FAN-AMD-AM5-KIT-ZM-AM5MKA",1.00,5,100+,100+,0,0,ZAL,ACC,#,#,Zalman,https://www.zalman.com,https://www.zalman.com/EN/Product/ProductDetail.do?pageIndex=1&pageSize=10&pageUnit=12&productSeq=1404&searchCategory1=86&searchCategory2=102&searchCategory3=-99&searchKey=&searchWord=,"1 Year",,"Zalman ZM-AM5MKA, AMD AM5 Kit for Zalman CPU Air Cooler Fans, Stand Off x4, Rubber x4, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366420/full/0/01734591375.jpg
II366425,"ALPHA2 DS A24 WHITE","ZAL FAN ALPHA2-DS-A24-WHITE",174.00,225,2,2,0,0,ZAL,FAN,#,#,Zalman,https://www.zalman.com,https://www.zalman.com/EN/Product/ProductDetail.do?pageIndex=1&pageSize=10&productSeq=1614&searchCategory1=4&searchCategory2=49&searchCategory3=-99&searchKey=&searchWord=&active=pro_specTab#pro_detail,"5 Year",,"Zalman ALPHA2 DS A24 WHITE, CPU Liquid Cooler with 2.73’’ IPS LCD Screen, 2x120mm ARGB Fan, Socket: Intel LGA 1851/1700/1200/115X, AMD AM5/AM4, 5 Year Warranty",https://images.auscomp.au/uploads/images/II366425/full/0/01734671426.jpg
II366430,ZM500-LX3,"ZAL PSU 500W-DECAMAX-80PLUS-BLACK",50.00,70,100+,100+,0,0,ZAL,PSU,#,#,Zalman,https://www.zalman.com/EN/Main/Main.do,https://www.zalman.com/EN/Product/ProductDetail.do?pageIndex=1&pageSize=10&productSeq=367&searchCategory1=0&searchCategory2=-99&searchCategory3=-99&searchKey=&searchWord=zm500-lx,"3 Year",,"Zalman ZM500-LX3, Decamax, 500W, 80 Plus, Fan: 120mm, ATX, MTBF: 100,000 Hours, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366430/full/0/01734566475.jpg
II366431,"ZM-AF120R ARGB BLACK","ZAL FAN 120MM-ZM-AF120R-ARGB-BLACK",13.00,20,20+,20+,0,0,ZAL,FAN,#,#,Zalman,https://www.zalman.com/,https://www.zalman.com/EN/Product/ProductDetail.do?pageIndex=1&pageSize=10&productSeq=1509&searchCategory1=0&searchCategory2=-99&searchCategory3=-99&searchKey=&searchWord=ZM-AF120+ARGB+BLACK&active=pr,"1 Year",,"Zalman ZM-AF120R ARGB BLACK, Size: 120mm, Airflow: 46.6CFM, Noise: 24.3dBA, ARGB, Black, 1 Year Warranty	",https://images.auscomp.au/uploads/images/II366431/full/0/01734667849.jpg
II366451,USW-ULTRA,"UBI LAN USW-ULTRA",164.00,199.1,3,3,0,0,UBI,LAN,#,#,Ubiquiti,https://eu.store.ui.com/eu/en,https://eu.store.ui.com/eu/en/collections/pro-ultra/products/usw-ultra,"2 Year",,"Ubiquiti Ultra 42W, Compact Layer 2, 8-port GbE PoE Switch, Versatile Mounting Options, 7 PoE/PoE+ No Power Supply, PoE++ Input, 2 Year Warranty",https://images.auscomp.au/uploads/images/II366451/full/0/01734584917.jpg
II366465,ZM-HPS650W,"ZAL HDS ZM-HPS650W-BK",40.00,114.4,10,10,0,0,ZAL,HDS,#,#,Zalman,https://www.zalman.com,https://www.zalman.com/EN/Product/ProductDetail.do?pageIndex=1&pageSize=10&productSeq=1624&searchCategory1=0&searchCategory2=-99&searchCategory3=-99&searchKey=&searchWord=&active=pro_specTab#pro_detai,"1 Year",,"Zalman ZM-HPS650W, Virtual 7.1ch 3-Mode Gaming Headset, Noise-Cancelling, Wireless+Bluetooth, USB, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366465/full/0/01734666224.jpg
II366480,"ARCHER TX10UB NANO","TPL LAN ARCHER-TX10UB-NANO-USB-ADAPTER",26.50,29.09,4,4,0,0,TPL,LAN,#,#,TP-Link,https://www.tp-link.com/au,https://www.tp-link.com/au/home-networking/usb-adapter/archer-tx10ub-nano/#overview,"3 Year",,"TP-Link Archer TX10UB Nano, AX900 Nano Wi-Fi 6 Bluetooth 5.3 USB Adapter, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366480/full/0/01734921722.jpg
II366481,"ARCHER TX1U NANO","TPL LAN ARCHER-TX1U-NANO-USB-ADAPTER",11.75,29,4,4,0,0,TPL,LAN,#,#,TP-Link,https://www.tp-link.com/au,https://www.tp-link.com/au/home-networking/usb-adapter/archer-tx1u-nano/#overview,"3 Year",,"TP-Link Archer TX1U Nano,  AX300 Nano Wi-Fi 6 Wireless USB Adapter, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366481/full/0/01734920497.jpg
II366496,"GA-B650M GAMING PLUS WIFI","GIG MBD GA-B650M-GAMING-PLUS-WIFI",152.00,207.9,20+,20+,1,0,GIG,MBD,#,#,Gigabyte,https://www.gigabyte.com/au,"https://www.gigabyte.com/au/Search?submit=&kw=GA-B650M+GAMING+PLUS+WIFI#Products-2,3,5,11,104,105,13,14,45,46,82,69,9,40,41,130,112,90-1","3 Year",,"Gigabyte B650M GAMING PLUS WIFI, Micro ATX, AMD AM5, 4xDDR5, 2xM.2, 4xSATA 6Gb/s, RAID, 1xPCIe, 1xHDMI, 2xDP, GbE LAN, Wireless AX+Bluetooth, 1xUSB-C, 3xUSB3.2, 2xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366496/full/0/01736126961.jpg
II366498,Z10,"ZAL CAS Z10",100.00,130,20+,20+,0,0,ZAL,CAS,#,#,Zalman,https://www.zalman.com,,"1 Year",,"Zalman Z10, Mid-Tower, Tempered Glass, Drive Bays: 2x3.5"", 2x2.5"", Expansion Slot: 7, Motherboard Support: ATX/mATX/Mini-ITX, Pre-Installed Fan: 3x140mm, 1x120mm, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366498/full/0/01754618782.jpg
II366511,63F4MAR1AU,"LEN LCD 25-63F4MAR1AU",169.00,289,100+,50+,20+,0,LEN,LCD,#,#,Lenovo,https://www.lenovo.com/au,https://www.lenovo.com/au/en/p/accessories-and-software/monitors/office/63f4mar1au?orgRef=https%253A%252F%252Fwww.google.com%252F&srsltid=AfmBOooTxp-lJ01KPUyTtBODYN-kA1WEzH-7801B3SIcWpu6IloEKnzr,"3 Year",,"Lenovo 63F4MAR1AU, P25I-30, 24.5"", WLED, FHD(1920x1080), IPS, 16:9, 4ms, HDMI, DP, VGA, USB-A(4)/B(1), Pivot, Tilt, Swivel, Height Adjustable, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366511/full/0/01736144072.jpg
II366517,AUL35507U15,"DEL NBK 3550-AUL35507U15","1,429.00",4379,3,3,0,0,DEL,NBK,#,#,Dell,https://www.dell.com.au,,"1 Year",,"Dell AUL35507U15, Latitude 3550, 15.6"", FHD Screen(IR-Webcam), Intel Ultra 7-155U, 16GB DDR5 RAM, 512GB NVME SSD, Wireless AX+Bluetooth, Windows 11 Pro, 1Year Onsite Warranty",https://images.auscomp.au/uploads/images/II366517/full/0/01736396878.jpg
II366527,"TUF GAMING B850M-PLUS WIFI","ASU MBD TUF-GAMING-B850M-PLUS-WIFI",332.00,419,2,2,0,0,ASU,MBD,#,#,Asus,www.Asus.com.au,,"3 Year",,"ASUS TUF GAMING B850M-PLUS WIFI MBD, Micro ATX, AMD AM5, 4xDDR5, 3xM.2, 4xSATA 6Gbps, RAID, 3xPCIe, 1xHDMI, 1xDP, 2.5GbE Ethernet, Wireless AX+Bluetooth, 1x USB-C, 7x USB-A, 4xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366527/full/0/01736212508.jpg
II366526,"TUF GAMING B850-PLUS WIFI","ASU MBD TUF-GAMING-B850-PLUS-WIFI",343.00,439,4,4,0,0,ASU,MBD,#,#,Asus,https://www.asus.com/au/,,"3 Year",,"ASUS TUF GAMING B850-PLUS WIFI, ATX, AMD AM5, 4xDDR5, 3xM.2, 4xSATA 6Gbps, RAID, 4x PCIe, 1xHDMI, 1xDP, 2.5GbE Ethernet, Wi-Fi 7+Bluetooth, 1xUSB-C, 7xUSB-A, 2xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366526/full/0/01736211507.jpg
II366536,UM.HE0SA.302-RY0,"ACR LCD 27-ED270US3",214.00,249,5,5,0,0,ACR,LCD,#,#,Acer,https://www.acer.com/au-en,https://www.acer.com/au-en/monitors/gaming/nitro-ed0/pdp/UM.HE0SA.302,"3 Year",,"Acer UM.HE0SA.302-RY0, 27"", 16:9, WQHD(2560x1440), VA, 1ms, 180HZ, Free Sync, Curved Gaming, HDMI(2.0)x2, DP(1.2)x1, Tilt, Speaker(2Wx2), VESA75x75, 3Year Warranty",https://images.auscomp.au/uploads/images/II366536/full/0/01736217587.jpg
II366555,"B860 GAMING PLUS WIFI","MSI MBD B860-GAMING-PLUS-WIFI",275.00,326.7,2,2,0,0,MSI,MBD,#,#,MSI,https://au.msi.com/,https://www.msi.com/Motherboard/B860-GAMING-PLUS-WIFI,"3 Year",,"MSI B860 GAMING PLUS WIFI, ATX, Intel LGA 1851, 4xDDR5, 3xM.2, 4xSATA 6G, RAID, 1xHDMI, 1xDP, 1xTB4, 4xPCIe, LAN, Wi-Fi 7+Bluetooth, 4xUSB2.0, 4xUSB-A, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366555/full/0/01736826293.jpg
II366557,EAP650-DESKTOP,"TPL LAN EAP650-DESKTOP",171.00,209,10,10,0,0,TPL,LAN,#,#,"TP-Link ",https://www.omadanetworks.com/au,https://www.omadanetworks.com/au/business-networking/omada-wifi-desktop/eap650-desktop/#specifications,"5 Year",,"TP-Link EAP650-Desktop, Omada AX3000 Desktop Wi-Fi 6 Access Point, 4 Lan Ports, Wireless AX, MU-MIMO, 5 Year Warranty",https://images.auscomp.au/uploads/images/II366557/full/0/01736302510.jpg
II366561,GA-X870-EAGLE-WIFI7,"GIG MBD GA-X870-EAGLE-WIFI7",358.00,486.2,10,10,0,0,GIG,MBD,#,#,Gigabyte,https://www.gigabyte.com/au,,"3 Year",,"Gigabyte GA-X870-EAGLE-WIFI7, ATX, AMD AM5, 4xDDR5, 3xM.2, 4xSATA, RAID, 3xPCIe, 1xHDMI, GbE LAN, Wi-Fi 7+Bluetooth, 2xUSB4 Type-C(DP-Alt Mode), 4xUSB3.2, 4xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366561/full/0/01752813310.jpg
II366567,GA-B860M-GAMING-X-WIFI6E,"GIG MBD GA-B860M-GAMING-X-WIFI6E",250.00,360.36,1,1,0,0,GIG,MBD,#,#,Gigabyte,https://www.gigabyte.com/au,,"3 Year",,"Gigabyte GA-B860M-GAMING-X-WIFI6E 1.0, Micro ATX, Intel LGA1851, 4xDDR5, 2xM.2, 4xSATA 6Gbps, RAID, 2xPCIe, 1xHDMI, 1xDP, GbE LAN, Wireless AX+Bluetooth, 1xUSB-C, 3xUSB3.2, 5xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366567/full/0/01738726587.jpg
II366568,GA-B860M-DS3H-WIFI6E,"GIG MBD GA-B860M-DS3H-WIFI6E",210.00,343.2,4,4,0,0,GIG,MBD,#,#,Gigabyte,https://www.gigabyte.com/au,,"3 Year",,"Gigabyte GA-B860M-DS3H-WIFI6E 1.0, Micro ATX, Intel LGA 1851, 4xDDR5, 2xM.2, 4xSATA 6Gbps, RAID, 4xPCIe, 1xHDMI, 2xDP, GbE LAN, Wireless AX+Bluetooth, 3xUSB3.2, 3xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366568/full/0/01738728617.jpg
II366570,LD5U16G56C46ST-BGS,"LXR MEM 5-16GB-LD5U16G56C46ST-BGS",64.00,79,100+,100+,0,0,LXR,MEM,#,#,Lexar,,,,,"Lexar LD5U16G56C46ST-BGS, UDIMM, DDR5 16GB(1x16GB), 5600MHz, CL46, Limited Lifetime Warranty ",https://images.auscomp.au/uploads/images/II366570/full/1736466153.jpg
II366572,LD5S08G56C46ST-BGS,"LXR MEM 5-NB-8GB-LD5S08G56C46ST-BGS",32.00,49,50+,50+,0,0,LXR,MEM,#,#,Lexar,,,,,"Lexar LD5S08G56C46ST-BGS, SODIMM DDR5 8GB(1x8GB), 5600MHz, CL46, Limited Lifetime Warranty ",https://images.auscomp.au/uploads/images/II366572/full/1756270323.jpg
II366575,DUAL-RX7600-O8G-EVO,"ASU VGA DUAL-RX7600-O8G-EVO",362.50,529,17,16,1,0,ASU,VGA,#,#,Asus,https://www.asus.com/au/,https://www.asus.com/au/searchresult?searchType=products&searchKey=DUAL-RX7600-O8G-EVO&page=1,"3 Year",,"ASUS DUAL-RX7600-O8G-EVO, AMD Dual Radeon RX 7600, 8GB DDR6, Core Clock: 2715MHz, Cuda Core: 2048, 1xHDMI, 3xDP, PSU: 550W, PCIe 4.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366575/full/0/01736404384.jpg
II366577,CY4751PBCHE,"CYG ACC POWER-BANK-CY4751PBCHE",44.00,84.95,1,1,0,0,CYG,ACC,#,#,Cygnett,,,"2 Year",,"Cygnett CY4751PBCHE, 20K mAh Power Bank, 15W Max Power Output, 1x USB-C 15W, 2x USB-A 15W, Digital Display, Black, 2 Year Warranty",https://images.auscomp.au/uploads/images/II366577/full/0/01736405212.jpg
II366586,SE239,"SMP ENC 2.5-SATA-USB-C-SE239-BLACK",17.00,29,5,5,0,0,SMP,ENC,#,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/simplecom-se239-tool-free-2-5-sata-hdd-ssd-to-usb-c-enclosure-with-rgb-lights-usb-3-2-gen-2.html,"1 Year",,"Simplecom SE239, Tool-Free 2.5"" SATA HDD SSD to USB-C Enclosure With RGB Lights USB 3.2 Gen2, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366586/full/0/01736488757.jpg
II366589,CAE630,"SMP CAB CAT6A-NW-ULTRA-SLIM-3M",5.75,9,5,5,0,0,SMP,CAB,#,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/simplecom-cae630-ultra-slim-flexible-cat6a-utp-ethernet-cable-10gbps-3m.html,"1 Year",,"Simplecom CAE630, Ultra Slim Flexible Cat6A UTP Ethernet Cable, 10Gbps, 3M, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366589/full/0/01736491793.jpg
II366594,DA320,"SMP CNV USB-C-3-IN-1-ADAPTER",10.75,39,6,0,6,0,SMP,CNV,#,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/simplecom-da320-usb-c-3-in-1-adapter-usb-3-2-gen-1-5gbps-pd-hdmi-2-0-4kat60hz.html,"1 Year",,"Simplecom DA320, USB-C 3-In-1 Adapter USB 3.2 Gen 1 5Gbps PD HDMI 2.0, 4K@60Hz, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366594/full/0/01736727297.jpg
II366607,RNUC13ANKI300000I,"ASU NUC 13-PRO-RNUC13ANKI300000I",440.00,535.45,8,8,0,0,ASU,NUC,#,#,Asus,https://www.asus.com/au,https://www.asus.com/au/displays-desktops/nucs/nuc-mini-pcs/asus-nuc-13-pro/,"3 Year",,"ASUS RNUC13ANKI300000I, 13 Pro, NUC Mini Pc, Intel i3-1315U, DDR4(0/2), M.2(0/2), WirelessAX+Bluetooth, No Power Cord, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366607/full/0/01736834213.jpg
II366613,UACC-CHIME-POE,"UBI LAN ACC-UACC-CHIME-POE",135.50,160.6,6,6,0,0,UBI,LAN,#,#,"Ubiquiti ",,,"2 Year",,"Ubiquiti UACC-Chime-PoE, Unifi PoE, Smart Chime Play & Play Notification Device For Doorbell or Door Access Hub, 2 Year Warranty",https://images.auscomp.au/uploads/images/II366613/full/0/01737613615.jpg
II366615,"MODERN AM242P 12M-1610AU","MSI SYS AIO-MODERN-AM242P-12M-1610AU","1,249.00",1362.73,10,10,0,0,MSI,SYS,#,#,MSI,https://au.msi.com/,https://au.msi.com/All-in-One-PC/Modern-AM242P-12M,"3 Year",,"MSI MODERN AM242P 12M-1610AU, 23.8"", FHD Screen, Intel i7-1255U, 16GB DDR4 RAM, 1TB NVMe SSD, Keyboard+Mouse, WirelessAX+Bluetooth, Windows11 Pro, 3 Year Onsite Warranty",https://images.auscomp.au/uploads/images/II366615/full/0/01736921079.jpg
II366620,SE502C,"SMP ENC M.2-USB3-SE502C",15.50,29,2,2,0,0,SMP,ENC,#,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/simplecom-se502c-sata-m-2-ssd-to-usb-c-enclosure-usb-3-2-gen1-5gbps.html,"1 Year",,"Simplecom SE502C, SATA M.2 SSD to USB-C Enclosure, USB 3.2 Gen1, 5Gbps, 1 Year Warranty",https://images.auscomp.au/uploads/images/II366620/full/0/01736919966.jpg
II366624,9D9L6UT,"HPL LCD 24-524PF-9D9L6UT",229.00,305,100+,100+,4,0,HPL,LCD,#,#,"Hewlett Packard",https://www.hp.com/au-en/home.html,,"3 Year",,"HP 9D9L6UT, SERIES 5 PRO 524PF, 23.8"", IPS, FHD(1920x1080), 16:9, 5ms, 100Hz, 1xHDMI, 1xDP, 4xUSB-A, 1xUSB-B, VESA, Adjustable Height, Swivel, Tilt, 3 Year Warranty, (Replaces E24 - 6N6E9AA)",https://images.auscomp.au/uploads/images/II366624/full/0/01737010646.jpg
II366626,9E0G9UT,"HPL LCD 24-524PM-9E0G9UT",499.00,731.5,20,14,6,0,HPL,LCD,#,#,"Hewlett Packard",https://www.hp.com/au-en/home.html,,,,"HP 9E0G9UT, SERIES 5 PRO 524PM, 23.8"", IPS FHD Screen (IR-Webcam), 1920x1080, 16:9, 5ms, 100Hz, 1xHDMI, 2xDP, USB, Speaker, Adjustable Height, VESA, Swivel, Pivot, Tilt, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366626/full/0/01737009197.jpg
II366628,"CSK850 PRO AU","ANT PSU 850W-CSK850-PRO-AU",107.00,148.5,4,4,0,0,ANT,PSU,#,#,Antec,,,"5 Year",,"Antec CSK850 PRO, 850W, 80 Plus Bronze, Semi Modular, Fan: 120mm, ATX 3.1, 5 Year Warranty",https://images.auscomp.au/uploads/images/II366628/full/0/01737001708.jpg
II366633,9D9S0UT,"HPL LCD 27-527PQ-9D9S0UT",349.00,455,12,9,3,0,HPL,LCD,#,#,"Hewlett Packard",https://www.hp.com/au-en/home.html,,"3 Year",,"HP 9D9S0UT, SERIES 5 PRO 527PQ, 27"", IPS, QHD(2560x1440), 16:9, 5ms, 75Hz, 1xHDMI, 1xDP, USB, Adjustable Height, VESA, Tilt, Swivel, 3 Year Warranty (replaces E27q - 6N6F2AA)",https://images.auscomp.au/uploads/images/II366633/full/0/01737006658.jpg
II366639,676A2AA,"HPL HDS HYPERX-STINGER-2-WLS-676A2AA",165.00,157.69,10,10,0,0,HPL,HDS,#,#,"Hewlett Packard",,,"2 Year",,"Hyper 676A2AA, X Stinger 2 Wireless Headset, USB2.0, 2 Year Warranty",https://images.auscomp.au/uploads/images/II366639/full/1737012597.jpg
II366645,"TUF GAMING B860-PLUS WIFI","ASU MBD TUF-GAMING-B860-PLUS-WIFI",360.00,399,2,2,0,0,ASU,MBD,#,#,Asus,https://www.asus.com/au,https://www.asus.com/au/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b860-plus-wifi/,"3 Year",,"ASUS TUF GAMING B860-PLUS WIFI, ATX, Intel LGA1851, 4xDDR5, 3xM.2, 4xSATA 6Gb/s, RAID, 3xPCIe, 1xHDMI, 1xDP, 2.5GbE Ethernet, Wi-Fi 7+Bluetooth, 1xUSB-C, 5xUSB-A, 2xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366645/full/0/01737512767.jpg
II366646,"TUF GAMING B860M-PLUS WIFI","ASU MBD TUF-GAMING-B860M-PLUS-WIFI",264.00,329,4,4,0,0,ASU,MBD,#,#,Asus,https://www.asus.com/au,https://www.asus.com/au/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b860m-plus-wifi/,"3 Year",,"ASUS TUF GAMING B860M-PLUS WIFI, Micro ATX, Intel LGA1851, 4xDDR5, 3xM.2, 4xSATA 6G, RAID, 2xPCIe, 1xHDMI, 1xDP, 2.5Gb Ethernet, Wi-Fi 7+Bluetooth, 1xUSB-C, 6xUSB-A, 1xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366646/full/0/01737510088.jpg
II366649,MZ-V9S2T0BW,"SAM SSD 2TB-MZ-V9S2T0BW-M2",223.00,339.9,20+,20+,0,0,SAM,SSD,#,#,Samsung,https://www.samsung.com/au/,https://www.samsung.com/au/memory-storage/nvme-ssd/990-evo-plus-2tb-nvme-pcie-gen-4-mz-v9s2t0bw/,"5 Year",,"Samsung MZ-V9S2T0BW, 990 EVO PLUS, 2TB, M.2 2280 NVMe PCIe SSD, 1200TBW, Read Speed: 7250MB/s, Write Speed: 6300 MB/s, MTBF: 1,500,000 Hours, 5 Year Warranty",https://images.auscomp.au/uploads/images/II366649/full/0/01737685141.jpg
II67835,ICUSB232V2,"STT CAB USB-RS232-DB9-M-M-0.43M",30.20,42.99,3,3,0,0,STT,CAB,,,Startrack,https://www.startech.com/en-au,https://www.startech.com/en-au/cards-adapters/icusb232v2?srsltid=AfmBOopIn3BPs9C2NwdC8IMGFcM_D6siHQ4bQKW6ZYkAIawYbZa44QSN,"3 Year",,"StarTech ICUSB232V2, 17in (43cm) 1 Port USB to RS232 DB9 Serial Adapter Cable, USB Powered, Compatible with Windows, Mac or Linux; Works with your USB 1.0 or 2.0 Ports, Baud Rate 921.6Kbps, 3 Year Warranty",https://images.auscomp.au/uploads/images/II67835/full/0/01029791098.jpg
II366684,CT1000E100SSD8,"CRU SSD 1TB-CT1000E100SSD8-M2",76.00,9999,1,1,0,0,CRU,SSD,#,#,Crucial,,,"3 Year",,"Crucial CT1000E100SSD8, 1TB, Gen4, NVMe SSD, M.2 PCIe4, 5000/4500 MB/s R/W, 80TBW, 350K/460K IOPS, 1M hrs MTTF, 3Year Warranty",https://images.auscomp.au/uploads/images/II366684/full/0/01737513644.jpg
II366685,LNM790X008T-RNNNG,"LXR SSD 8TB-LNM790X008T-RNNNG-M2",990.00,1199,16,16,0,0,LXR,SSD,#,#,Lexar,,,"5 Year",,"Lexar LNM790X008T-RNNNG, NM790, 8TB, M.2 NVMe, PCIe4.0, 6000TBW, Read Speed: 7000MB/s, Write Speed: 6200MB/s, 5 Year Warranty	",https://images.auscomp.au/uploads/images/II366685/full/0/01737699130.jpg
II366691,GA-B850-EAGLE-WIFI6E,"GIG MBD GA-B850-EAGLE-WIFI6E",296.00,384.7,4,4,0,0,GIG,MBD,#,#,Gigabyte,https://www.gigabyte.com/au,,"3 Year",,"Gigabyte GA-B850-EAGLE-WIFI6E, ATX, AMD AM5, 4xDDR5, 3xM.2, 4xSATA 6Gb/s, RAID, 1xPCIe, 1xHDMI, 1xDP, GbE Lan, Wireless AX+Bluetooth, 1xUSB-C, 4xUSB3.2, 4xUSB2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366691/full/0/01737597066.jpg
II366693,GA-B850M-GAMING-X-WF6E,"GIG MBD GA-B850M-GAMING-X-WF6E",288.00,391.5,5,5,0,0,GIG,MBD,#,#,Gigabyte,https://www.gigabyte.com/au,,"3 Year",,"Gigabyte GA B850M Gaming X WiFi, Micro ATX, AMD AM5, 4xDDR5, 2xM.2, 4xSATA 6Gb/s, RAID, 2xPCIe, 1xHDMI, 2xDP, Wireless AX+Bluetooth, 2xUSB-C, 3xUSB3.2, 4xUSB 2.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II366693/full/0/01737597924.jpg
II366699,LMSSIPL512G-BNANG,"LXR FLS MICROSD-512GB-LMSSIPL512G-BNANG",57.50,129,17,17,0,0,LXR,FLS,#,#,,,,"Limited Lifetinme",,"Lexar LMSSIPL512G-BNANG, Silver Plus, 512GB, MicroSDXC, UHS-I U3, Read Speed: Up to 205MB/s, Write Speed: Up to 150MB/s, Limited Lifetime Warranty	",https://images.auscomp.au/uploads/images/II366699/full/1737701837.jpg
II366718,8K167AA,"HPL LCD 38-738PU-8K167AA","1,099.00",2215,3,3,0,0,HPL,LCD,#,#,"Hewlett Packard",https://www.hp.com/au-en/home.html,https://www.hp.com/au-en/shop/hp-series-7-pro-37-5-inch-wqhd-thunderbolt-4-monitor-738pu-8k167aa.html,"3 Year",," HP 8K167AA, SERIES 7 PRO 738PU, 37.5"", Curved, IPS, WQHD, 3440x1600, 21:9, 5ms, TB4(100W PD), 1xHDMI, 1xDP, 1xRJ-45, USB, Swivel, Adjustable Height, Tilt, 3 Year Warranty(replaces Z4W65A4)",https://images.auscomp.au/uploads/images/II366718/full/0/01738031829.jpg
